req_id,domain,requirement_source,source_section,page_logic_artifact,status,evidence_basis,classification
REQ-CF-00037,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00038,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00039,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00040,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00041,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00042,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00043,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00044,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00045,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00046,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00047,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00048,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00049,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00050,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00051,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00052,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00053,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00054,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00055,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00056,core-finance,docs/PRD-核心引擎.md,5.2.1 浠锋牸灞傜骇涓庝紭鍏堢骇,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00057,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00058,core-finance,docs/PRD-核心引擎.md,5.3 闄愭祦寮曟搸绮惧寲,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00059,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00060,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00061,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00062,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00063,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00064,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00066,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00068,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00071,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00072,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00073,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00074,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00075,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00076,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00078,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00080,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00084,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00086,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00089,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00090,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00091,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00092,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00093,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00094,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00096,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00098,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00102,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00107,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00108,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00109,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00110,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00111,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00114,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00117,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00119,core-finance,docs/PRD-核心引擎.md,5.3.1 鍥涚骇闄愭祦璇︾粏瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00120,core-finance,docs/PRD-核心引擎.md,5.4 閫氱煡涓庡憡璀︾簿鍖?,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00121,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00122,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00123,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00124,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00125,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00126,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00127,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00129,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00130,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00132,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00133,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00134,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00135,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00136,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00137,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00138,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00139,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00140,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00142,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00143,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00145,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00146,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00147,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00148,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00150,core-finance,docs/PRD-核心引擎.md,(section text withheld: canonical source_section contains encoding damage),,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00151,core-finance,docs/PRD-财务模块增强.md,9.1 财务总账（科目余额表）,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00152,core-finance,docs/PRD-财务模块增强.md,9.1 财务总账（科目余额表）,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00153,core-finance,docs/PRD-财务模块增强.md,9.1 财务总账（科目余额表）,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00154,core-finance,docs/PRD-财务模块增强.md,鑳屾櫙,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00155,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00156,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00157,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00158,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00159,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00160,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00161,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00162,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00163,core-finance,docs/PRD-财务模块增强.md,鍔熻兘瑙勬牸,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00164,core-finance,docs/PRD-财务模块增强.md,API 鎺ュ彛,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
REQ-CF-00165,core-finance,docs/PRD-财务模块增强.md,API 鎺ュ彛,,UNKNOWN,No verified implementation file:line/symbol and test-case evidence is present in the current audit materials.,UNKNOWN
