prototype_id,path,title,interactive_markup_count,line_count
PROTO-0020,kb/3cloud/prototypes/admin-consumption-tracking.html,3cloud Admin — 客户消费明细追踪,26,81
PROTO-0021,kb/3cloud/prototypes/admin-content-moderation.html,3cloud Admin — 内容审核,67,478
PROTO-0022,kb/3cloud/prototypes/admin-content.html,3cloud Admin — 内容管理,18,37
PROTO-0023,kb/3cloud/prototypes/admin-conversion-funnel.html,3cloud Admin — 转化漏斗分析,18,123
PROTO-0024,kb/3cloud/prototypes/admin-cost-dashboard.html,3cloud Admin — 成本看板,11,68
PROTO-0025,kb/3cloud/prototypes/admin-cost-prediction.html,3cloud Admin — 成本预测图表,24,450
PROTO-0026,kb/3cloud/prototypes/admin-coupon.html,3cloud Admin — 兑换码管理,15,34
PROTO-0027,kb/3cloud/prototypes/admin-credit.html,3cloud Admin — 额度管理（限流配额）,24,514
PROTO-0028,kb/3cloud/prototypes/admin-customer-detail.html,3cloud Admin — 客户详情,36,722
PROTO-0029,kb/3cloud/prototypes/admin-customer-lifecycle.html,3cloud Admin — 客户生命周期仪表板,29,111
PROTO-0030,kb/3cloud/prototypes/admin-customer-success.html,3cloud Admin — 客户成功与续费看板,35,109
PROTO-0031,kb/3cloud/prototypes/admin-customer-tags.html,3cloud Admin — 客户分层标签管理,46,148
PROTO-0032,kb/3cloud/prototypes/admin-customers.html,3cloud Admin — 客户列表,54,334
PROTO-0033,kb/3cloud/prototypes/admin-dashboard.html,3cloud Admin — 业务看板,21,71
PROTO-0034,kb/3cloud/prototypes/admin-data-request.html,3cloud Admin — 政府数据调取管理,57,1281
PROTO-0035,kb/3cloud/prototypes/admin-discount-engine.html,3cloud Admin — 折扣规则引擎,29,55
PROTO-0036,kb/3cloud/prototypes/admin-dispute.html,3cloud Admin — 消费纠纷处理,68,1267
PROTO-0037,kb/3cloud/prototypes/admin-email-templates.html,3cloud Admin — 邮件模板,42,1011
PROTO-0038,kb/3cloud/prototypes/admin-finance.html,3cloud Admin — 财务工作台,19,59
PROTO-0039,kb/3cloud/prototypes/admin-i18n.html,3cloud 管理后台 — 国际化管理,37,547
PROTO-0040,kb/3cloud/prototypes/admin-invoice-review.html,3cloud Admin — 发票审核,15,33
PROTO-0041,kb/3cloud/prototypes/admin-log-retention.html,3cloud Admin — 日志维护,17,172
PROTO-0042,kb/3cloud/prototypes/admin-logs.html,3cloud Admin — 审计合规,11,58
PROTO-0043,kb/3cloud/prototypes/admin-maintenance.html,3cloud Admin — 系统维护,32,259
PROTO-0044,kb/3cloud/prototypes/admin-manual-recharge.html,3cloud Admin — 人工上账,18,34
PROTO-0045,kb/3cloud/prototypes/admin-marketplace.html,3cloud Admin — 模型市场,6,248
PROTO-0046,kb/3cloud/prototypes/admin-model-service.html,3cloud Admin — 模型服务管理,81,1338
PROTO-0047,kb/3cloud/prototypes/admin-multimodal-models.html,3cloud Admin — 多模态模型管理,66,794
PROTO-0048,kb/3cloud/prototypes/admin-notification-policy.html,3cloud Admin — 通知触发策略配置,106,255
PROTO-0049,kb/3cloud/prototypes/admin-oauth.html,3cloud Admin — OAuth 配置,19,118
PROTO-0050,kb/3cloud/prototypes/admin-operation-diff.html,3cloud Admin — 操作差异对比视图,21,71
PROTO-0051,kb/3cloud/prototypes/admin-operator-dashboard.html,3cloud Admin — 客服工作量,9,98
PROTO-0052,kb/3cloud/prototypes/admin-ops-config.html,3cloud Admin — 系统行为配置,18,35
PROTO-0053,kb/3cloud/prototypes/admin-ops-monitor.html,3cloud Admin — 监控与警报,18,34
PROTO-0054,kb/3cloud/prototypes/admin-ops.html,3cloud Admin — 运维配置,0,128
PROTO-0055,kb/3cloud/prototypes/admin-performance.html,3cloud Admin — 性能配置,21,273
PROTO-0056,kb/3cloud/prototypes/admin-price-change.html,3cloud Admin — 模型价格变更通知,39,576
PROTO-0057,kb/3cloud/prototypes/admin-pricing.html,3cloud Admin — 价格管理,16,35
PROTO-0058,kb/3cloud/prototypes/admin-profit.html,3cloud Admin — 利润分析,11,68
PROTO-0059,kb/3cloud/prototypes/admin-rate-limit.html,3cloud Admin — 限流设置,10,119
PROTO-0060,kb/3cloud/prototypes/admin-recharge-orders.html,3cloud Admin — 充值订单,16,35
PROTO-0061,kb/3cloud/prototypes/admin-reconciliation-diff.html,3cloud Admin — 对账差异处理,55,411
PROTO-0062,kb/3cloud/prototypes/admin-reconciliation.html,3cloud Admin — 对账报表,34,173
PROTO-0063,kb/3cloud/prototypes/admin-refund-review.html,3cloud Admin — 退款审核,13,33
PROTO-0064,kb/3cloud/prototypes/admin-risk-events.html,3cloud Admin — 风控事件管理,15,35
PROTO-0065,kb/3cloud/prototypes/admin-risk-rules.html,3cloud Admin — 风控规则配置,20,35
PROTO-0066,kb/3cloud/prototypes/admin-risk.html,3cloud Admin — 风控合规,21,53
PROTO-0067,kb/3cloud/prototypes/admin-roles.html,3cloud Admin — 角色权限,17,36
PROTO-0068,kb/3cloud/prototypes/admin-satisfaction.html,3cloud Admin — 满意度评价,13,111
PROTO-0069,kb/3cloud/prototypes/admin-security-incident.html,3cloud Admin — 安全事件响应工作台,48,148
PROTO-0070,kb/3cloud/prototypes/admin-security-ip-blacklist.html,3cloud Admin — 系统级 IP 黑名单与安全,48,122
PROTO-0071,kb/3cloud/prototypes/admin-service-knowledge.html,3cloud Admin — 服务知识库,39,104
PROTO-0072,kb/3cloud/prototypes/admin-settings.html,3cloud Admin — 系统设置,37,54
PROTO-0073,kb/3cloud/prototypes/admin-settlement.html,3cloud Admin — 结算对账,11,68
PROTO-0074,kb/3cloud/prototypes/admin-sidebar-template.html,3cloud Admin — 侧栏导航模板,0,58
PROTO-0075,kb/3cloud/prototypes/admin-site-settings.html,3cloud Admin — 站点设置,13,156
PROTO-0076,kb/3cloud/prototypes/admin-smtp.html,3cloud Admin — SMTP 邮箱,13,151
PROTO-0077,kb/3cloud/prototypes/admin-subscription.html,3cloud Admin — 订阅制管理,33,440
PROTO-0078,kb/3cloud/prototypes/admin-supplier-bill-match.html,3cloud Admin — 供应商账单核对,21,176
PROTO-0079,kb/3cloud/prototypes/admin-supplier-detail.html,3cloud Admin — 供应商详情,28,48
PROTO-0080,kb/3cloud/prototypes/admin-supplier-list.html,3cloud Admin — 供应商列表,21,40
PROTO-0081,kb/3cloud/prototypes/admin-supplier.html,3cloud Admin — 供应商管理,43,145
PROTO-0082,kb/3cloud/prototypes/admin-tax-banking.html,3cloud Admin — 税负与银行账户管理,21,97
PROTO-0083,kb/3cloud/prototypes/admin-ticket-detail.html,3cloud Admin — 工单详情,11,133
PROTO-0084,kb/3cloud/prototypes/admin-ticket.html,3cloud Admin — 工单中心,36,84
PROTO-0085,kb/3cloud/prototypes/admin-undo.html,撤销操作管理 — 3Cloud 管理后台,44,557
PROTO-0086,kb/3cloud/prototypes/admin-vendor-cost.html,3cloud Admin — 供应商成本管理,16,295
PROTO-0087,kb/3cloud/prototypes/admin-vendor-performance.html,3cloud 管理后台 — 供应商绩效排名,18,691
PROTO-0088,kb/3cloud/prototypes/admin-vendor-pricing.html,3cloud Admin — 厂商定价管理,29,509
PROTO-0089,kb/3cloud/prototypes/admin-vendor-profiles.html,3cloud Admin — 厂商资料管理,31,345
PROTO-0090,kb/3cloud/prototypes/admin-vendor-stats.html,3cloud Admin — 用户选购统计,11,41
PROTO-0091,kb/3cloud/prototypes/admin-verification.html,3cloud Admin — 实名认证审核,55,1172
PROTO-0092,kb/3cloud/prototypes/admin-webhook-retry.html,Webhook 投递日志与重试管理 — 3Cloud 管理后台,54,626
PROTO-0093,kb/3cloud/prototypes/admin-withdraw.html,3cloud Admin — 提现管理,13,33
PROTO-0094,kb/3cloud/prototypes/agent-commission.html,3cloud Portal — 佣金中心,16,580
PROTO-0095,kb/3cloud/prototypes/agent-consumption.html,3cloud Portal — 消费追踪,22,565
PROTO-0096,kb/3cloud/prototypes/agent-customers.html,3cloud Portal — 代理商客户列表,13,651
PROTO-0097,kb/3cloud/prototypes/agent-dashboard.html,3cloud Portal — 代理商控制台,1,334
PROTO-0098,kb/3cloud/prototypes/agent-invite.html,代理邀请管理 — 3cloud,18,557
PROTO-0099,kb/3cloud/prototypes/agent-ranking.html,代理排行榜 — 3cloud 管理端,26,603
PROTO-0100,kb/3cloud/prototypes/agent-withdraw.html,3cloud Portal — 提现管理原型,16,570
PROTO-0101,kb/3cloud/prototypes/portal-account-deletion.html,3cloud Portal — 账号注销 & 数据管理,41,785
PROTO-0102,kb/3cloud/prototypes/portal-apikey.html,3cloud Portal — API Key 管理原型,35,550
PROTO-0103,kb/3cloud/prototypes/portal-dashboard.html,3cloud Portal — 控制台原型,4,406
PROTO-0104,kb/3cloud/prototypes/portal-forgot-password.html,3cloud Portal — 忘记密码,8,89
PROTO-0105,kb/3cloud/prototypes/portal-invoice.html,3cloud Portal — 发票申请原型,17,491
PROTO-0106,kb/3cloud/prototypes/portal-login.html,3cloud Portal — 登录原型,10,89
PROTO-0107,kb/3cloud/prototypes/portal-notification.html,3cloud Portal — 通知中心原型,6,683
PROTO-0108,kb/3cloud/prototypes/portal-oauth.html,3cloud Portal — 两步验证,29,668
PROTO-0109,kb/3cloud/prototypes/portal-recharge.html,3cloud Portal — 充值原型,13,297
PROTO-0110,kb/3cloud/prototypes/portal-register.html,3cloud Portal — 注册原型,6,102
PROTO-0111,kb/3cloud/prototypes/portal-security.html,3cloud Portal — 账号安全,23,734
PROTO-0112,kb/3cloud/prototypes/portal-statistics.html,3cloud Portal — Token 消费明细,28,871
PROTO-0113,kb/3cloud/prototypes/portal-template.html,3cloud Portal — 页面名称,19,210
PROTO-0114,kb/3cloud/prototypes/portal-ticket.html,3Cloud 门户 - 工单中心,22,670
PROTO-0115,kb/3cloud/prototypes/portal-topup-record.html,3cloud Portal — 充值记录原型,25,619
PROTO-0116,kb/3cloud/prototypes/portal-user-groups.html,3cloud Portal — 模型分组原型,25,570
PROTO-0117,kb/3cloud/prototypes/portal-vendor-selector.html,3cloud Portal — 模型厂商选择,5,628
PROTO-0118,kb/3cloud/prototypes/portal-verification.html,实名认证 - 3Cloud Portal,24,999
