req_id,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,status
UA2-00232,source_section,,1.00,1.00,,,MANUAL_REVIEW
UA2-00233,source_section,,,,,,MANUAL_REVIEW
UA2-00234,source_section,,,,,,MANUAL_REVIEW
UA2-00235,source_section,,`site_configs.daily_free_tokens`,`site_configs.daily_free_tokens`,,,MANUAL_REVIEW
UA2-00236,source_section,,,,,,MANUAL_REVIEW
UA2-00237,source_section,,,,,,MANUAL_REVIEW
UA2-00238,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00239,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00240,source_section,,,,,,MANUAL_REVIEW
UA2-00241,source_section,,,,,,MANUAL_REVIEW
UA2-00242,source_section,,,,,,MANUAL_REVIEW
UA2-00243,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00244,source_section,,,,,,MANUAL_REVIEW
UA2-00245,source_section,,,,,,MANUAL_REVIEW
UA2-00246,source_section,,,,,,MANUAL_REVIEW
UA2-00247,source_section,,,,,,MANUAL_REVIEW
UA2-00248,source_section,,,,,,MANUAL_REVIEW
UA2-00249,source_section,,`/console/logs range=today`,`/console/logs range=today`,,,MANUAL_REVIEW
UA2-00250,source_section,,,,,,MANUAL_REVIEW
UA2-00251,source_section,,,,,,MANUAL_REVIEW
UA2-00252,source_section,,,,,,MANUAL_REVIEW
UA2-00254,source_section,,`/console/stats range=today`,`/console/stats range=today`,,,MANUAL_REVIEW
UA2-00255,source_section,,,,,,MANUAL_REVIEW
UA2-00256,source_section,,,,,,MANUAL_REVIEW
UA2-00257,source_section,,,,,,MANUAL_REVIEW
UA2-00259,source_section,,`/console/transactions range=today`,`/console/transactions range=today`,,,MANUAL_REVIEW
UA2-00260,source_section,,,,,,MANUAL_REVIEW
UA2-00261,source_section,,`users.balance`,`users.balance`,,,MANUAL_REVIEW
UA2-00262,source_section,,,,,,MANUAL_REVIEW
UA2-00263,source_section,,,,,,MANUAL_REVIEW
UA2-00264,source_section,,`/console/recharge`,`/console/recharge`,,,MANUAL_REVIEW
UA2-00265,source_section,,,,,,MANUAL_REVIEW
UA2-00266,source_section,,,,,,MANUAL_REVIEW
UA2-00267,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00268,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00269,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00270,source_section,,,,,,MANUAL_REVIEW
UA2-00271,source_section,,,,,,MANUAL_REVIEW
UA2-00272,source_section,,,,,,MANUAL_REVIEW
UA2-00273,source_section,,,,,,MANUAL_REVIEW
UA2-00274,source_section,,`site_configs.show_free_quota`,`site_configs.show_free_quota`,,,MANUAL_REVIEW
UA2-00275,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00276,source_section,,,,,,MANUAL_REVIEW
UA2-00277,source_section,,,,,,MANUAL_REVIEW
UA2-00278,source_section,,decimal,decimal,,,MANUAL_REVIEW
UA2-00279,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00280,source_section,,,,,,MANUAL_REVIEW
UA2-00282,source_section,,,,,,MANUAL_REVIEW
UA2-00283,source_section,,,,,,MANUAL_REVIEW
UA2-00284,source_section,,int,int,,,MANUAL_REVIEW
UA2-00285,source_section,,,,,,MANUAL_REVIEW
UA2-00286,source_section,,,,,,MANUAL_REVIEW
UA2-00288,source_section,,,,,,MANUAL_REVIEW
UA2-00289,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00290,source_section,,,,,,MANUAL_REVIEW
UA2-00291,source_section,,,,,,MANUAL_REVIEW
UA2-00292,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00293,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00294,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00295,source_section,,,,,,MANUAL_REVIEW
UA2-00296,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00297,source_section,,,,,,MANUAL_REVIEW
UA2-00298,source_section,,,,,,MANUAL_REVIEW
UA2-00299,source_section,,,,,,MANUAL_REVIEW
UA2-00300,source_section,,,,,,MANUAL_REVIEW
UA2-00301,source_section,,,,,,MANUAL_REVIEW
UA2-00302,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00303,source_section,,,,,,MANUAL_REVIEW
UA2-00304,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00305,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00306,source_section,,,,,,MANUAL_REVIEW
UA2-00307,source_section,,"0% = #f0f0f0, 25% = #c6e48b, 50% = #7bc96f, 75% = #239a3b, 100% = #196127","0% = #f0f0f0, 25% = #c6e48b, 50% = #7bc96f, 75% = #239a3b, 100% = #196127",,,MANUAL_REVIEW
UA2-00308,source_section,,,,,,MANUAL_REVIEW
UA2-00309,source_section,,,,,,MANUAL_REVIEW
UA2-00310,source_section,,,,,,MANUAL_REVIEW
UA2-00311,source_section,,,,,,MANUAL_REVIEW
UA2-00312,source_section,,,,,,MANUAL_REVIEW
UA2-00313,source_section,,,,,,MANUAL_REVIEW
UA2-00314,source_section,,,,,,MANUAL_REVIEW
UA2-00315,source_section,,,,,,MANUAL_REVIEW
UA2-00316,source_section,,,,,,MANUAL_REVIEW
UA2-00317,source_section,,,,,,MANUAL_REVIEW
UA2-00318,source_section,,,,,,MANUAL_REVIEW
UA2-00319,source_section,,,,,,MANUAL_REVIEW
UA2-00320,source_section,,,,,,MANUAL_REVIEW
UA2-00321,source_section,,,,,,MANUAL_REVIEW
UA2-00322,source_section,,,,,,MANUAL_REVIEW
UA2-00323,source_section,,,,,,MANUAL_REVIEW
UA2-00324,source_section,,,,,,MANUAL_REVIEW
UA2-00325,source_section,,,,,,MANUAL_REVIEW
UA2-00326,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00327,source_section,,,,,,MANUAL_REVIEW
UA2-00328,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00329,source_section,,,,,,MANUAL_REVIEW
UA2-00330,source_section,,,,,,MANUAL_REVIEW
UA2-00331,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00332,source_section,,,,,,MANUAL_REVIEW
UA2-00333,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00334,source_section,,,,,,MANUAL_REVIEW
UA2-00335,source_section,,,,,,MANUAL_REVIEW
UA2-00336,source_section,,,,,,MANUAL_REVIEW
UA2-00337,source_section,,,,,,MANUAL_REVIEW
UA2-00338,source_section,,,,,,MANUAL_REVIEW
UA2-00339,source_section,,,,,,MANUAL_REVIEW
UA2-00340,source_section,,,,,,MANUAL_REVIEW
UA2-00341,source_section,,,,,,MANUAL_REVIEW
UA2-00342,source_section,,,,,,MANUAL_REVIEW
UA2-00343,source_section,,,,,,MANUAL_REVIEW
UA2-00344,source_section,,,,,,MANUAL_REVIEW
UA2-00345,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00346,source_section,,,,,,MANUAL_REVIEW
UA2-00347,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00348,source_section,,,,,,MANUAL_REVIEW
UA2-00349,source_section,,,,,,MANUAL_REVIEW
UA2-00350,source_section,,,,,,MANUAL_REVIEW
UA2-00351,source_section,,,,,,MANUAL_REVIEW
UA2-00352,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00353,source_section,,,,,,MANUAL_REVIEW
UA2-00354,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00355,source_section,,,,,,MANUAL_REVIEW
UA2-00356,source_section,,,,,,MANUAL_REVIEW
UA2-00357,source_section,,,,,,MANUAL_REVIEW
UA2-00358,source_section,,,,,,MANUAL_REVIEW
UA2-00359,source_section,,,,,,MANUAL_REVIEW
UA2-00360,source_section,,,,,,MANUAL_REVIEW
UA2-00361,source_section,,,,,,MANUAL_REVIEW
UA2-00362,source_section,,,,,,MANUAL_REVIEW
UA2-00363,source_section,,,,,,MANUAL_REVIEW
UA2-00364,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00365,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00366,source_section,,,,,,MANUAL_REVIEW
UA2-00367,source_section,,,,,,MANUAL_REVIEW
UA2-00368,source_section,,,,,,MANUAL_REVIEW
UA2-00369,source_section,,,,,,MANUAL_REVIEW
UA2-00370,source_section,,,,,,MANUAL_REVIEW
UA2-00372,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00373,source_section,,,,,,MANUAL_REVIEW
UA2-00375,source_section,,,,,,MANUAL_REVIEW
UA2-00377,source_section,,,,,,MANUAL_REVIEW
UA2-00379,source_section,,,,,,MANUAL_REVIEW
UA2-00381,source_section,,,,,,MANUAL_REVIEW
UA2-00382,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00383,source_section,,,,,,MANUAL_REVIEW
UA2-00384,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00385,source_section,,,,,,MANUAL_REVIEW
UA2-00386,source_section,,`YYYY-MM-DD HH:mm`,`YYYY-MM-DD HH:mm`,,,MANUAL_REVIEW
UA2-00387,source_section,,`xxx.xxx.xxx.xxx`,`xxx.xxx.xxx.xxx`,,,MANUAL_REVIEW
UA2-00388,source_section,,,,,,MANUAL_REVIEW
UA2-00389,source_section,,,,,,MANUAL_REVIEW
UA2-00390,source_section,,,,,,MANUAL_REVIEW
UA2-00391,source_section,,,,,,MANUAL_REVIEW
UA2-00392,source_section,,`Chrome 120 / Windows 10`,`Chrome 120 / Windows 10`,,,MANUAL_REVIEW
UA2-00393,source_section,,,,,,MANUAL_REVIEW
UA2-00394,source_section,,,,,,MANUAL_REVIEW
UA2-00395,source_section,,,,,,MANUAL_REVIEW
UA2-00396,source_section,,,,,,MANUAL_REVIEW
UA2-00397,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00398,source_section,,,,,,MANUAL_REVIEW
UA2-00399,source_section,,,,,,MANUAL_REVIEW
UA2-00400,source_section,,1/3,1/3,,,MANUAL_REVIEW
UA2-00401,source_section,,,,,,MANUAL_REVIEW
UA2-00402,source_section,,,,,,MANUAL_REVIEW
UA2-00403,source_section,,,,,,MANUAL_REVIEW
UA2-00404,source_section,,,,,,MANUAL_REVIEW
UA2-00405,source_section,,2/3,2/3,,,MANUAL_REVIEW
UA2-00406,source_section,,,,,,MANUAL_REVIEW
UA2-00407,source_section,,,,,,MANUAL_REVIEW
UA2-00408,source_section,,,,,,MANUAL_REVIEW
UA2-00409,source_section,,3/3,3/3,,,MANUAL_REVIEW
UA2-00410,source_section,,,,,,MANUAL_REVIEW
UA2-00411,source_section,,,,,,MANUAL_REVIEW
UA2-00412,source_section,,,,,,MANUAL_REVIEW
UA2-00413,source_section,,,,,,MANUAL_REVIEW
UA2-00414,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00415,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00416,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00417,source_section,,,,,,MANUAL_REVIEW
UA2-00418,source_section,,,,,,MANUAL_REVIEW
UA2-00419,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00420,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00421,source_section,,,,,,MANUAL_REVIEW
UA2-00422,source_section,,,,,,MANUAL_REVIEW
UA2-00423,source_section,,,,,,MANUAL_REVIEW
UA2-00424,source_section,,,,,,MANUAL_REVIEW
UA2-00425,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00426,source_section,,,,,,MANUAL_REVIEW
UA2-00427,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00428,source_section,,,,,,MANUAL_REVIEW
UA2-00429,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00430,source_section,,,,,,MANUAL_REVIEW
UA2-00431,source_section,,,,,,MANUAL_REVIEW
UA2-00432,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00433,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00434,source_section,,,,,,MANUAL_REVIEW
UA2-00435,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00436,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00437,source_section,,,,,,MANUAL_REVIEW
UA2-00438,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00439,source_section,,,,,,MANUAL_REVIEW
UA2-00440,source_section,,,,,,MANUAL_REVIEW
UA2-00441,source_section,,,,,,MANUAL_REVIEW
UA2-00442,source_section,,,,,,MANUAL_REVIEW
UA2-00443,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00444,source_section,,,,,,MANUAL_REVIEW
UA2-00445,source_section,,,,,,MANUAL_REVIEW
UA2-00446,source_section,,,,,,MANUAL_REVIEW
UA2-00447,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00448,source_section,,,,,,MANUAL_REVIEW
UA2-00449,source_section,,,,,,MANUAL_REVIEW
UA2-00450,source_section,,,,,,MANUAL_REVIEW
UA2-00452,source_section,,,,,,MANUAL_REVIEW
UA2-00453,source_section,,,,,,MANUAL_REVIEW
UA2-00454,source_section,,,,,,MANUAL_REVIEW
UA2-00456,source_section,,,,,,MANUAL_REVIEW
UA2-00457,source_section,,,,,,MANUAL_REVIEW
UA2-00458,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00459,source_section,,,,,,MANUAL_REVIEW
UA2-00460,source_section,,,,,,MANUAL_REVIEW
UA2-00461,source_section,,,,,,MANUAL_REVIEW
UA2-00463,source_section,,,,,,MANUAL_REVIEW
UA2-00464,source_section,,,,,,MANUAL_REVIEW
UA2-00465,source_section,,,,,,MANUAL_REVIEW
UA2-00466,source_section,,,,,,MANUAL_REVIEW
UA2-00467,source_section,,,,,,MANUAL_REVIEW
UA2-00468,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00469,source_section,,,,,,MANUAL_REVIEW
UA2-00470,source_section,,,,,,MANUAL_REVIEW
UA2-00471,source_section,,,,,,MANUAL_REVIEW
UA2-00472,source_section,,,,,,MANUAL_REVIEW
UA2-00473,source_section,,,,,,MANUAL_REVIEW
UA2-00474,source_section,,,,,,MANUAL_REVIEW
UA2-00475,source_section,,,,,,MANUAL_REVIEW
UA2-00476,source_section,,,,,,MANUAL_REVIEW
UA2-00477,source_section,,,,,,MANUAL_REVIEW
UA2-00478,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00479,source_section,,,,,,MANUAL_REVIEW
UA2-00480,source_section,,,,,,MANUAL_REVIEW
UA2-00481,source_section,,,,,,MANUAL_REVIEW
UA2-00482,source_section,,,,,,MANUAL_REVIEW
UA2-00483,source_section,,,,,,MANUAL_REVIEW
UA2-00484,source_section,,,,,,MANUAL_REVIEW
UA2-00485,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00486,source_section,,,,,,MANUAL_REVIEW
UA2-00487,source_section,,,,,,MANUAL_REVIEW
UA2-00488,source_section,,,,,,MANUAL_REVIEW
UA2-00489,source_section,,,,,,MANUAL_REVIEW
UA2-00490,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00491,source_section,,,,,,MANUAL_REVIEW
UA2-00492,source_section,,,,,,MANUAL_REVIEW
UA2-00493,source_section,,,,,,MANUAL_REVIEW
UA2-00494,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00495,source_section,,,,,,MANUAL_REVIEW
UA2-00496,source_section,,,,,,MANUAL_REVIEW
UA2-00497,source_section,,,,,,MANUAL_REVIEW
UA2-00498,source_section,,,,,,MANUAL_REVIEW
UA2-00499,source_section,,,,,,MANUAL_REVIEW
UA2-00500,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00501,source_section,,,,,,MANUAL_REVIEW
UA2-00502,source_section,,,,,,MANUAL_REVIEW
UA2-00503,source_section,,,,,,MANUAL_REVIEW
UA2-00504,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00505,source_section,,,,,,MANUAL_REVIEW
UA2-00506,source_section,,,,,,MANUAL_REVIEW
UA2-00513,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00525,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00529,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00546,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00557,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00564,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00566,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00587,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00589,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00595,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00606,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00612,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00644,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00653,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00656,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00657,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00658,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00666,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00668,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00673,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00677,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00679,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00680,source_section,,,,,,MANUAL_REVIEW
UA2-00681,source_section,,,,,,MANUAL_REVIEW
UA2-00682,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00683,source_section,,,,,,MANUAL_REVIEW
UA2-00684,source_section,,,,,,MANUAL_REVIEW
UA2-00685,source_section,,,,,,MANUAL_REVIEW
UA2-00686,source_section,,,,,,MANUAL_REVIEW
UA2-00687,source_section,,,,,,MANUAL_REVIEW
UA2-00688,source_section,,,,,,MANUAL_REVIEW
UA2-00689,source_section,,,,,,MANUAL_REVIEW
UA2-00690,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00691,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00692,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00693,source_section,,,,,,MANUAL_REVIEW
UA2-00694,source_section,,,,,,MANUAL_REVIEW
UA2-00695,source_section,,,,,,MANUAL_REVIEW
UA2-00696,source_section,,,,,,MANUAL_REVIEW
UA2-00697,source_section,,,,,,MANUAL_REVIEW
UA2-00698,source_section,,,,,,MANUAL_REVIEW
UA2-00699,source_section,,,,,,MANUAL_REVIEW
UA2-00700,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00701,source_section,,,,,,MANUAL_REVIEW
UA2-00703,source_section,,,,,,MANUAL_REVIEW
UA2-00704,source_section,,,,,,MANUAL_REVIEW
UA2-00706,source_section;source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00707,source_section,,,,,,MANUAL_REVIEW
UA2-00708,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00726,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00738,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00744,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00751,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00753,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00772,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00782,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00784,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00787,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00788,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00791,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00811,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00814,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00815,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00817,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00820,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00828,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00837,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00871,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00874,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00883,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00889,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00892,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
UA2-00899,source_quote;atomic_assertion,,,,,,MANUAL_REVIEW
