req_id,domain,source_path,bad_fields,current_source_line,current_heading,current_source_context,source_line_readability,atomic_assertion_original,review_action,review_status,reviewer_note
UA2-00104,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,50,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,**鏁版嵁鑼冨洿闄愬埗**锛|,CORRUPTED,**鏁版嵁鑼冨洿闄愬埗**锛|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00113,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,55,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,| `agent_only` | 浠呭悕涓嬪叧鑱旂敤鎴|| agent 鍙兘鐪嬪埌鑷繁鍚嶄笅鐨勭敤鎴锋暟鎹||,CORRUPTED,agent 鍙兘鐪嬪埌鑷繁鍚嶄笅鐨勭敤鎴锋暟鎹,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00116,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,56,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,| `self` | 浠呰嚜宸|| user 鍙兘鐪嬪埌鑷繁鐨勬暟鎹||,CORRUPTED,user 鍙兘鐪嬪埌鑷繁鐨勬暟鎹,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00117,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,58,21: #### 2.1.2 鏉冮檺寮曟搸瑙勬牸,**瑙掕壊妯℃澘棰勮**锛|,CORRUPTED,**瑙掕壊妯℃澘棰勮**锛|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00136,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,70,68: #### 2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,**鎿嶄綔鏃ュ織璁板綍鍐呭**锛堟瘡鏉¤褰曞繀椤诲寘鍚級锛|,CORRUPTED,**鎿嶄綔鏃ュ織璁板綍鍐呭**锛堟瘡鏉¤褰曞繀椤诲寘鍚級锛|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00156,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,80,68: #### 2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,"| `before_value` | 鎿嶄綔鍓嶅€硷紙鏁忔劅鎿嶄綔蹇呭～锛墊 `{""balance"": 500.00}` |",CORRUPTED,"鎿嶄綔鍓嶅€硷紙鏁忔劅鎿嶄綔蹇呭～锛墊 `{""balance"": 500.00}`",重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00158,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,81,68: #### 2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,"| `after_value` | 鎿嶄綔鍚庡€硷紙鏁忔劅鎿嶄綔蹇呭～锛墊 `{""balance"": 300.00}` |",CORRUPTED,"鎿嶄綔鍚庡€硷紙鏁忔劅鎿嶄綔蹇呭～锛墊 `{""balance"": 300.00}`",重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00168,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,86,68: #### 2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,**鏁忔劅鎿嶄綔鍒楄〃**锛堝繀椤昏褰曞墠鍚庡€+ 闇€浜屾纭锛夛細,CORRUPTED,**鏁忔劅鎿嶄綔鍒楄〃**锛堝繀椤昏褰曞墠鍚庡€+ 闇€浜屾纭锛夛細,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00169,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,101,68: #### 2.1.3 澶氱鐞嗗憳鍗忎綔涓庢搷浣滃璁|,**鏁忔劅鎿嶄綔瀹℃壒娴*锛|,CORRUPTED,**鏁忔劅鎿嶄綔瀹℃壒娴*锛|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00170,user-agent,docs/PRD-用户体系.md,source_quote;atomic_assertion,120,118: ### 2.2 鐢ㄦ埛绔姛鑳借鏍|,> 馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.2-user-dashboard.md`](ref-2.2-user-dashboard.md) 鈥鍚Drizzle Schema 琛ュ厖銆佸畬鏁API 鎺ュ彛銆6 鍖哄煙缁勪欢 Props銆佺姸鎬佺鐞嗐€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾|,CORRUPTED,馃搸 **娣卞寲鍙傝€*锛歔`docs/ref-2.2-user-dashboard.md`](ref-2.2-user-dashboard.md) 鈥鍚Drizzle Schema 琛ュ厖銆佸畬鏁API 鎺ュ彛銆6 鍖哄煙缁勪欢 Props銆佺姸鎬佺鐞嗐€佷氦鍙夊紩鐢ㄤ笌璋冪敤閾|,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00171,user-agent,docs/PRD-用户体系.md,source_section,128,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,**瀛楁瑙勬牸**,READABLE,**瀛楁瑙勬牸**,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00172,user-agent,docs/PRD-用户体系.md,source_section,132,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鐢ㄦ埛鏄电О | text | `users.nickname` | 浼氳瘽鍔犺浇 | 鏄剧ず閭鍓嶇紑 |,READABLE,鐢ㄦ埛鏄电О,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00173,user-agent,docs/PRD-用户体系.md,source_section,132,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鐢ㄦ埛鏄电О | text | `users.nickname` | 浼氳瘽鍔犺浇 | 鏄剧ず閭鍓嶇紑 |,READABLE,text,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00174,user-agent,docs/PRD-用户体系.md,source_section,132,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鐢ㄦ埛鏄电О | text | `users.nickname` | 浼氳瘽鍔犺浇 | 鏄剧ず閭鍓嶇紑 |,READABLE,`users.nickname`,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00175,user-agent,docs/PRD-用户体系.md,source_section,132,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鐢ㄦ埛鏄电О | text | `users.nickname` | 浼氳瘽鍔犺浇 | 鏄剧ず閭鍓嶇紑 |,READABLE,浼氳瘽鍔犺浇,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00176,user-agent,docs/PRD-用户体系.md,source_section,132,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鐢ㄦ埛鏄电О | text | `users.nickname` | 浼氳瘽鍔犺浇 | 鏄剧ず閭鍓嶇紑 |,READABLE,鏄剧ず閭鍓嶇紑,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00177,user-agent,docs/PRD-用户体系.md,source_section,133,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 瑙掕壊鏍囩 | badge | `users.role` | 浼氳瘽鍔犺浇 | 涓嶆樉绀||,READABLE,瑙掕壊鏍囩,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00178,user-agent,docs/PRD-用户体系.md,source_section,133,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 瑙掕壊鏍囩 | badge | `users.role` | 浼氳瘽鍔犺浇 | 涓嶆樉绀||,READABLE,badge,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00179,user-agent,docs/PRD-用户体系.md,source_section,133,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 瑙掕壊鏍囩 | badge | `users.role` | 浼氳瘽鍔犺浇 | 涓嶆樉绀||,READABLE,`users.role`,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00181,user-agent,docs/PRD-用户体系.md,source_section,133,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 瑙掕壊鏍囩 | badge | `users.role` | 浼氳瘽鍔犺浇 | 涓嶆樉绀||,READABLE,涓嶆樉绀,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00182,user-agent,docs/PRD-用户体系.md,source_section,134,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| VIP 鏍囪瘑 | badge | `users.vip_level` | 浼氳瘽鍔犺浇 | level=0 涓嶆樉绀||,READABLE,VIP 鏍囪瘑,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00184,user-agent,docs/PRD-用户体系.md,source_section,134,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| VIP 鏍囪瘑 | badge | `users.vip_level` | 浼氳瘽鍔犺浇 | level=0 涓嶆樉绀||,READABLE,`users.vip_level`,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00186,user-agent,docs/PRD-用户体系.md,source_section,134,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| VIP 鏍囪瘑 | badge | `users.vip_level` | 浼氳瘽鍔犺浇 | level=0 涓嶆樉绀||,READABLE,level=0 涓嶆樉绀,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00187,user-agent,docs/PRD-用户体系.md,source_section,135,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 璐︽埛浣欓 | decimal(10,2) | `users.balance` | 姣忔椤甸潰鍒锋柊 | 楼0.00 |",READABLE,璐︽埛浣欓,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00188,user-agent,docs/PRD-用户体系.md,source_section,135,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 璐︽埛浣欓 | decimal(10,2) | `users.balance` | 姣忔椤甸潰鍒锋柊 | 楼0.00 |",READABLE,"decimal(10,2)",重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00189,user-agent,docs/PRD-用户体系.md,source_section,135,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 璐︽埛浣欓 | decimal(10,2) | `users.balance` | 姣忔椤甸潰鍒锋柊 | 楼0.00 |",READABLE,`users.balance`,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00190,user-agent,docs/PRD-用户体系.md,source_section,135,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 璐︽埛浣欓 | decimal(10,2) | `users.balance` | 姣忔椤甸潰鍒锋柊 | 楼0.00 |",READABLE,姣忔椤甸潰鍒锋柊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00191,user-agent,docs/PRD-用户体系.md,source_section,135,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 璐︽埛浣欓 | decimal(10,2) | `users.balance` | 姣忔椤甸潰鍒锋柊 | 楼0.00 |",READABLE,楼0.00,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00192,user-agent,docs/PRD-用户体系.md,source_section,136,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浣欓棰勮搴曡壊 | color | 浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊 | 姣忔鍒锋柊 | 姝ｅ父搴曡壊 |,CORRUPTED,浣欓棰勮搴曡壊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00193,user-agent,docs/PRD-用户体系.md,source_section,136,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浣欓棰勮搴曡壊 | color | 浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊 | 姣忔鍒锋柊 | 姝ｅ父搴曡壊 |,CORRUPTED,color,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00194,user-agent,docs/PRD-用户体系.md,source_section;source_quote;atomic_assertion,136,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浣欓棰勮搴曡壊 | color | 浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊 | 姣忔鍒锋柊 | 姝ｅ父搴曡壊 |,CORRUPTED,浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00195,user-agent,docs/PRD-用户体系.md,source_section,136,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浣欓棰勮搴曡壊 | color | 浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊 | 姣忔鍒锋柊 | 姝ｅ父搴曡壊 |,CORRUPTED,姣忔鍒锋柊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00196,user-agent,docs/PRD-用户体系.md,source_section,136,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浣欓棰勮搴曡壊 | color | 浣欓 <= 楼10 榛勮壊锛= 楼1 绾㈣壊 | 姣忔鍒锋柊 | 姝ｅ父搴曡壊 |,CORRUPTED,姝ｅ父搴曡壊,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00197,user-agent,docs/PRD-用户体系.md,source_section,137,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浠婃棩宸茬敤 Token | bigint | `call_logs` 褰撴棩鑱氬悎 | 10 绉掕疆璇|| 0 tokens |,READABLE,浠婃棩宸茬敤 Token,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00198,user-agent,docs/PRD-用户体系.md,source_section,137,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浠婃棩宸茬敤 Token | bigint | `call_logs` 褰撴棩鑱氬悎 | 10 绉掕疆璇|| 0 tokens |,READABLE,bigint,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00199,user-agent,docs/PRD-用户体系.md,source_section,137,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浠婃棩宸茬敤 Token | bigint | `call_logs` 褰撴棩鑱氬悎 | 10 绉掕疆璇|| 0 tokens |,READABLE,`call_logs` 褰撴棩鑱氬悎,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00200,user-agent,docs/PRD-用户体系.md,source_section,137,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浠婃棩宸茬敤 Token | bigint | `call_logs` 褰撴棩鑱氬悎 | 10 绉掕疆璇|| 0 tokens |,READABLE,10 绉掕疆璇,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00201,user-agent,docs/PRD-用户体系.md,source_section,137,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 浠婃棩宸茬敤 Token | bigint | `call_logs` 褰撴棩鑱氬悎 | 10 绉掕疆璇|| 0 tokens |,READABLE,0 tokens,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00202,user-agent,docs/PRD-用户体系.md,source_section,138,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鍓╀綑鍏嶈垂棰濆害 | bigint | `user_quotas.daily_free` - 浠婃棩宸茬敤 | 10 绉掕疆璇|| 鏃犲厤璐归搴﹀垯闅愯棌 |,READABLE,鍓╀綑鍏嶈垂棰濆害,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00204,user-agent,docs/PRD-用户体系.md,source_section,138,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鍓╀綑鍏嶈垂棰濆害 | bigint | `user_quotas.daily_free` - 浠婃棩宸茬敤 | 10 绉掕疆璇|| 鏃犲厤璐归搴﹀垯闅愯棌 |,READABLE,`user_quotas.daily_free` - 浠婃棩宸茬敤,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00206,user-agent,docs/PRD-用户体系.md,source_section,138,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 鍓╀綑鍏嶈垂棰濆害 | bigint | `user_quotas.daily_free` - 浠婃棩宸茬敤 | 10 绉掕疆璇|| 鏃犲厤璐归搴﹀垯闅愯棌 |,READABLE,鏃犲厤璐归搴﹀垯闅愯棌,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00207,user-agent,docs/PRD-用户体系.md,source_section,139,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍鏃堕棿 | datetime | `login_history` 鏈€鏂颁竴鏉|| 浼氳瘽鍔犺浇 | ""棣栨鐧诲綍"" |",READABLE,涓婃鐧诲綍鏃堕棿,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00208,user-agent,docs/PRD-用户体系.md,source_section,139,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍鏃堕棿 | datetime | `login_history` 鏈€鏂颁竴鏉|| 浼氳瘽鍔犺浇 | ""棣栨鐧诲綍"" |",READABLE,datetime,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00209,user-agent,docs/PRD-用户体系.md,source_section,139,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍鏃堕棿 | datetime | `login_history` 鏈€鏂颁竴鏉|| 浼氳瘽鍔犺浇 | ""棣栨鐧诲綍"" |",READABLE,`login_history` 鏈€鏂颁竴鏉,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00211,user-agent,docs/PRD-用户体系.md,source_section,139,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍鏃堕棿 | datetime | `login_history` 鏈€鏂颁竴鏉|| 浼氳瘽鍔犺浇 | ""棣栨鐧诲綍"" |",READABLE,"""棣栨鐧诲綍""",重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00212,user-agent,docs/PRD-用户体系.md,source_section,140,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 涓婃鐧诲綍 IP | text | 鍚屼笂 | 浼氳瘽鍔犺浇 | 鏃||,READABLE,涓婃鐧诲綍 IP,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00214,user-agent,docs/PRD-用户体系.md,source_section,140,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 涓婃鐧诲綍 IP | text | 鍚屼笂 | 浼氳瘽鍔犺浇 | 鏃||,READABLE,鍚屼笂,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00216,user-agent,docs/PRD-用户体系.md,source_section,141,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍褰掑睘鍦|| text | IP 鍦扮悊搴撹В鏋|| 浼氳瘽鍔犺浇 | ""鏈煡鍖哄煙""|",READABLE,涓婃鐧诲綍褰掑睘鍦,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00218,user-agent,docs/PRD-用户体系.md,source_section,141,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍褰掑睘鍦|| text | IP 鍦扮悊搴撹В鏋|| 浼氳瘽鍔犺浇 | ""鏈煡鍖哄煙""|",READABLE,IP 鍦扮悊搴撹В鏋,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00220,user-agent,docs/PRD-用户体系.md,source_section,141,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,"| 涓婃鐧诲綍褰掑睘鍦|| text | IP 鍦扮悊搴撹В鏋|| 浼氳瘽鍔犺浇 | ""鏈煡鍖哄煙""|",READABLE,"""鏈煡鍖哄煙""",重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00221,user-agent,docs/PRD-用户体系.md,source_section,143,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,**杩愯惀閰嶇疆**,READABLE,**杩愯惀閰嶇疆**,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00222,user-agent,docs/PRD-用户体系.md,source_section,145,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 閰嶇疆椤|| 璺緞 | 榛樿鍊|| 璇存槑 |,READABLE,閰嶇疆椤,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
UA2-00223,user-agent,docs/PRD-用户体系.md,source_section,145,126: ##### 鍖哄煙 1锛氭杩庡崱鐗|,| 閰嶇疆椤|| 璺緞 | 榛樿鍊|| 璇存槑 |,READABLE,璺緞,重摘可读 source_quote；确认 source_section；必要时拆分 atomic_assertion；不能沿用乱码行,OPEN,
