req_id,domain,source_path,atomic_assertion,markers,classification,review_status,review_note
REQ-ADMINPORTAL-01780,integrations-sso,docs/SPEC-§32-第三方集成与SSO.md,"需求规定：SSO-004 | 多个 SSO 提供商配置冲突 | 同一用户同时启用了多个 SSO 提供商，且邮箱/用户名相同 | 用户选择""默认 SSO 提供商""（登录时自动使用）",同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01788,integrations-sso,docs/SPEC-§32-第三方集成与SSO.md,"需求规定：SSO-008 | Webhook 目标 URL 变更延迟生效 | 目标 URL 变更后，仍有请求发往旧 URL | Webhook 配置变更使用""软切换""：旧 URL 在变更后继续接收最多 5 分钟（过渡期），期间新旧 URL 同时有效 | Webhook 投递 | P1",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-01858,admin-portal,docs/SPEC-§33-合规法务与成本分析.md,需求规定：COMP-006 | 服务条款批量确认超时 | 服务条款更新后，大量用户同时确认新协议导致系统压力 | 确认操作为异步低负载写入,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02121,growth-operations,docs/ref-4.10-user-segmentation.md,需求规定：有关联用户时二次确认 | 删除标签同时清除所有用户关联,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02207,growth-operations,docs/ref-4.10-user-segmentation.md,"需求规定：- 前端展示预估人数的同时，提供""查看样本""功能（返回前 20 条用户记录）",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02442,customer-support,docs/ref-4.11-ticketing.md,"需求规定：TK-002 | 工单状态变更冲突 | 客服 A 和处理人 B 同时对同一工单执行状态变更操作（如 A 标记 resolved，B 同时执行 reopen） | 后端使用乐观锁（version 字段），后提交者收到冲突提示""该工单状态已被变更，请刷新后重试""",同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02556,admin-portal,docs/ref-4.12-dashboard-pro.md,"需求规定：DP-004 | 多个仪表盘共享冲突 | 多个管理员同时编辑同一个大屏配置，后保存者覆盖先保存者的修改 | 配置存储使用乐观锁（version 字段），后保存者若检测到版本变更则提示""配置已被他人修改，请刷新后重试""",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02652,admin-portal,docs/ref-4.13-operation-timeline.md,"需求规定：OT-003 | 批量事件折叠显示异常 | 运营人员在短时间内批量处理操作（如批量审核、批量导出），时间线上同时涌入了 N 条高度相似的独立事件 | 相同 action + 操作人 + 时间窗口 ≤ 60s 的连续事件自动折叠为聚合节点，标注""批量 N 条操作""，点击展开详细列表",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02654,admin-portal,docs/ref-4.13-operation-timeline.md,需求规定：OT-004 | 跨时区时间显示 | 管理员位于不同时区（如北京时间 +8 和纽约时间 -4），查看同一时间线时事件时间信息混乱 | 所有时间数据统一以 UTC 存储，前端根据用户浏览器时区自动转换显示,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
REQ-ADMINPORTAL-02762,growth-operations,docs/ref-4.14-report-push.md,"需求规定：RP-002 | 推送频率超限 | 同一收件人在短时间内收到多份不同调度推送的报告（如日报和多个自定义日报同时推送） | 同一收件人的多份报告合并推送，合并间隔 ≤ 30 分钟的推送为一条聚合消息（""您有 N 份新报告""）",同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-02688,user-agent,docs/SPEC-§11-业务员支撑模块.md,客户超期未联系 > N 天，同时被转移给其他业务员,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-04120,user-agent,docs/SPEC-§24-代理商增强.md,同一区域被多个代理商同时申请,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-04179,user-agent,docs/SPEC-§25-供应商增强.md,3. 可查看不同时间范围的排名,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-04690,user-agent,docs/ref-2.2.2-model-center.md,同时向多个模型发送同一 Prompt,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-05126,user-agent,docs/ref-2.2.8-redemption-invoices.md,兑换码并发争抢（同一码最后 1 次被多用户同时兑换）,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-05409,user-agent,docs/ref-3-agent-system.md,固定金额佣金 + 比例佣金同时存在时，检查总佣金是否超过消费金额,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-05661,user-agent,docs/ref-24-agent-enhance.md,自定义定价：客户同时有代理定价+平台优惠,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-05741,user-agent,docs/ref-30-permission-management.md,用户同时多角色,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-05895,user-agent,docs/ref-11.1-crm.md,客户被多个业务员同时操作,同时,COMPOUND_ACTION_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
UA2-07073,user-agent,docs/ref-11.8-team-collaboration.md,同一客户同时被两个交接请求选中时，先处理的成功，后处理返回冲突错误,同时,CONDITION_SINGLE_REVIEW,OPEN,确认是否一个条件断言；若含多个独立动作/结果则拆分并建立 derived_from 关系。
