req_id,domain,source_path,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,risk_flags,review_decision,review_notes
UA2-01137,user-agent,docs/PRD-代理商支撑增强.md,API 接口,全部标记已读,全部标记已读,163,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01147,user-agent,docs/PRD-代理商支撑增强.md,功能规格,展示当前等级的所有权益，高亮已解锁项,展示当前等级的所有权益，高亮已解锁项,208,18;82;120;156;203;237,NONE_DETECTED,PENDING,
UA2-01155,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/level/benefits,/api/v1/agent/level/benefits,217,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01156,user-agent,docs/PRD-代理商支撑增强.md,API 接口,当前等级权益,当前等级权益,217,56;93;130;179;213,NONE_DETECTED,PENDING,
UA2-01167,user-agent,docs/PRD-代理商支撑增强.md,API 接口,/api/v1/agent/level/history,/api/v1/agent/level/history,220,56;93;130;179;213,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01168,user-agent,docs/PRD-代理商支撑增强.md,API 接口,等级变更历史,等级变更历史,220,56;93;130;179;213,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00335,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00352,customer-support,docs/PRD-客服支撑模块.md,API 接口,| `GET` | `/api/v1/admin/support/user-search?q=` | 搜索用户（ID/邮箱/手机号模糊匹配）| 客服专员以上 |,需求规定：`GET` | `/api/v1/public/knowledge-base/search?q=` | 鍏ㄦ枃鎼滅储 | 鏃犻渶鐧诲綍,21,17;83;123;174;209;243,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00354,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00369,customer-support,docs/PRD-客服支撑模块.md,API 接口,| `GET` | `/api/v1/admin/support/user-search?q=` | 搜索用户（ID/邮箱/手机号模糊匹配）| 客服专员以上 |,需求规定：`GET` | `/api/v1/public/help/search?q=` | 鍏ㄦ枃鎼滅储 | 鏃犻渶鐧诲綍,21,17;83;123;174;209;243,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-ADMINPORTAL-00370,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00384,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00399,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-ADMINPORTAL-00410,customer-support,docs/PRD-客服支撑模块.md,前端变更,| 页面 | 变更 |,需求规定：椤甸潰 | 鍙樻洿,27;98;134;185;220;251,25;96;132;183;218;249,NONE_DETECTED,PENDING,
REQ-CF-00031,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,**价格层级定义**,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00035,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`vendor_models.input/output_price`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00038,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,璇存槑应满足：L0 脳 (1 + 鍏ㄥ眬鍔犱环鐜?,164,164,MARKDOWN_OR_PATH;NUMERIC;POSSIBLE_COMPOUND;RESIDUAL_ENCODING,PENDING,
REQ-CF-00039,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`site_configs.default_markup_rate`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00043,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`models.override_price`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00047,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`agent_commission.discount_rate`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00051,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`key_group_pricing.unit_price`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00055,core-finance,docs/PRD-核心引擎.md,5.2.1 价格层级与优先级,#### 5.2.1 价格层级与优先级,鍗曚环鏉ユ簮应满足：`campaign_prices.discount_rate`,164,164,MARKDOWN_OR_PATH;NUMERIC,PENDING,
REQ-CF-00119,core-finance,docs/PRD-核心引擎.md,5.3.1 四级限流详细规格,#### 5.3.1 四级限流详细规格,**限流命中响应**,284,284,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00052,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,**资源维度**（按模块划分）：,**资源维度**（按模块划分）：,23,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00053,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`user`,`user`,27;78,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00054,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,用户管理,用户管理,27,21,NUMERIC,PENDING,
UA2-00055,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,列表 / 详情 / 余额操作 / 禁用,列表 / 详情 / 余额操作 / 禁用,27,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00056,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`apikey`,`apikey`,28,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00057,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,API Key 管理,API Key 管理,28;777,21,NUMERIC,PENDING,
UA2-00058,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,列表 / 创建 / 编辑 / 删除 / 权限配置,列表 / 创建 / 编辑 / 删除 / 权限配置,28,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00062,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`model`,`model`,30,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00063,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,模型管理,模型管理,30,21,NUMERIC,PENDING,
UA2-00064,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,列表 / 价格 / 映射,列表 / 价格 / 映射,30,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00071,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`security`,`security`,33,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00072,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,安全管理,安全管理,33,21,NUMERIC,PENDING,
UA2-00073,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,事件 / 规则 / 封禁 / 风控,事件 / 规则 / 封禁 / 风控,33,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00074,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`log`,`log`,34,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00075,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,日志管理,日志管理,34,21,NUMERIC,PENDING,
UA2-00076,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,调用日志 / 操作日志 / 审计日志,调用日志 / 操作日志 / 审计日志,34,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00077,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`config`,`config`,35,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00078,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,系统配置,系统配置,35;93,21,NUMERIC,PENDING,
UA2-00079,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,参数 / 版本 / 站点 / 环境,参数 / 版本 / 站点 / 环境,35,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00080,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`marketing`,`marketing`,36,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00081,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,营销运营,营销运营,36,21,NUMERIC,PENDING,
UA2-00082,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,活动 / 公告 / 内容 / 邮件模板,活动 / 公告 / 内容 / 邮件模板,36,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00084,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,操作代码,操作代码,40,21,NUMERIC,PENDING,
UA2-00085,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,操作,操作,40;74;75;76;77;78;79;83;84;371;579;884;1022,21,NUMERIC,PENDING,
UA2-00086,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,说明,说明,40;52;743;753;1022,21,NUMERIC,PENDING,
UA2-00090,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`create`,`create`,43,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00091,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,创建,创建,28;43;805;816;933,21,NUMERIC,PENDING,
UA2-00092,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,新增,新增,43,21,NUMERIC,PENDING,
UA2-00093,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`update`,`update`,44,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00094,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,编辑,编辑,838,21,NUMERIC,PENDING,
UA2-00095,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,修改现有数据,修改现有数据,44,21,NUMERIC,PENDING,
UA2-00096,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`delete`,`delete`,45,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00097,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,删除,删除,45;96,21,NUMERIC,PENDING,
UA2-00098,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,移除,移除,45,21,NUMERIC,PENDING,
UA2-00099,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`export`,`export`,46,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00100,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,导出,导出,46;300;1029,21,NUMERIC,PENDING,
UA2-00101,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,批量导出数据,批量导出数据,46,21,NUMERIC,PENDING,
UA2-00105,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,范围,范围,52;297;684,21,NUMERIC,PENDING,
UA2-00107,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,示例,示例,52;1095,21,NUMERIC,PENDING,
UA2-00108,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,`all`,`all`,54,21,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00109,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,鍏ㄥ钩鍙版暟鎹,鍏ㄥ钩鍙版暟鎹,54,21,NUMERIC,PENDING,
UA2-00110,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,"super_admin, admin","super_admin, admin",54,21,NUMERIC,PENDING,
UA2-00118,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,模板名称,模板名称,60,21,NUMERIC,PENDING,
UA2-00128,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,"user:{read}, finance:{read}, log:{read}","user:{read}, finance:{read}, log:{read}",64,21,NUMERIC,PENDING,
UA2-00129,user-agent,docs/PRD-用户体系.md,2.1.2 权限引擎规格,处理用户咨询,处理用户咨询,64,21,NUMERIC,PENDING,
UA2-00276,user-agent,docs/PRD-用户体系.md,区域 3：额度使用进度条,**字段规格**,**字段规格**,128;166;201;530;1297,199,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-00278,user-agent,docs/PRD-用户体系.md,区域 3：额度使用进度条,decimal,decimal,135;206,199,NUMERIC,PENDING,
UA2-00280,user-agent,docs/PRD-用户体系.md,区域 3：额度使用进度条,宸茬敤閲,宸茬敤閲,206,199,NUMERIC,PENDING,
UA2-00282,user-agent,docs/PRD-用户体系.md,区域 3：额度使用进度条,当月已消耗量,当月已消耗量,206,199,NUMERIC,PENDING,
UA2-00284,user-agent,docs/PRD-用户体系.md,区域 3：额度使用进度条,int,int,137,199,NUMERIC,PENDING,
UA2-01827,user-agent,docs/PRD-用户端体验增强.md,API 接口,POST,POST,46;118;283;315;317;318;319,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01830,user-agent,docs/PRD-用户端体验增强.md,API 接口,model_manage,model_manage,46;48,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01832,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/playground/embeddings,/api/v1/playground/embeddings,46,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01833,user-agent,docs/PRD-用户端体验增强.md,API 接口,向量嵌入调试,向量嵌入调试,46,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01839,user-agent,docs/PRD-用户端体验增强.md,API 接口,GET,GET,48;119;122;123;155;157;158;217;218;219;220;221;222;279;281;314;316;320;388;389;439;441;442;443,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01840,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/playground/models,/api/v1/playground/models,48,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01841,user-agent,docs/PRD-用户端体验增强.md,API 接口,可调试模型列表（按类型分组）,可调试模型列表（按类型分组）,48,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01867,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/budget-rules,/api/v1/me/budget-rules,118;119;120;121,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01868,user-agent,docs/PRD-用户端体验增强.md,API 接口,创建预算规则,创建预算规则,118,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01869,user-agent,docs/PRD-用户端体验增强.md,API 接口,用户,用户,118;119;120;121;122;123;155;156;157;158;217;218;219;220;221;222;279;280;281;282;283;314;315;316;317;318;319;320;461;463,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01872,user-agent,docs/PRD-用户端体验增强.md,API 接口,预算规则列表,预算规则列表,119,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01874,user-agent,docs/PRD-用户端体验增强.md,API 接口,PATCH,PATCH,120;156;280;282,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01875,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/budget-rules/:id,/api/v1/me/budget-rules/:id,120;121,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01878,user-agent,docs/PRD-用户端体验增强.md,API 接口,DELETE,DELETE,121,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01883,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/budget-usage,/api/v1/me/budget-usage,122;123,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01887,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/budget-usage/history,/api/v1/me/budget-usage/history,123,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01908,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/onboarding/progress,/api/v1/me/onboarding/progress,155;156,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01909,user-agent,docs/PRD-用户端体验增强.md,API 接口,获取引导进度,获取引导进度,155,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01913,user-agent,docs/PRD-用户端体验增强.md,API 接口,更新引导进度,更新引导进度,156,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01916,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/onboarding/examples,/api/v1/me/onboarding/examples,157;158,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01917,user-agent,docs/PRD-用户端体验增强.md,API 接口,获取示例代码列表,获取示例代码列表,157,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01920,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/onboarding/examples/:lang,/api/v1/me/onboarding/examples/:lang,158,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01921,user-agent,docs/PRD-用户端体验增强.md,API 接口,获取指定语言示例代码,获取指定语言示例代码,158,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01933,user-agent,docs/PRD-用户端体验增强.md,功能规格,支持 PDF / CSV 格式下载,支持 PDF / CSV 格式下载,181,11;67;141;176;240;300;338;409,MARKDOWN_OR_PATH,PENDING,
UA2-01936,user-agent,docs/PRD-用户端体验增强.md,功能规格,成本优化建议,成本优化建议,222,11;67;141;176;240;300;338;409,NONE_DETECTED,PENDING,
UA2-01941,user-agent,docs/PRD-用户端体验增强.md,功能规格,本月 vs 上月消费对比，环比增长率,本月 vs 上月消费对比，环比增长率,185,11;67;141;176;240;300;338;409,NONE_DETECTED,PENDING,
UA2-01943,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/summaries,/api/v1/me/billing/summaries,217;218;219,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01944,user-agent,docs/PRD-用户端体验增强.md,API 接口,月度账单列表,月度账单列表,217,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01947,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/summaries/:period,/api/v1/me/billing/summaries/:period,218;219,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01948,user-agent,docs/PRD-用户端体验增强.md,API 接口,指定月份账单详情,指定月份账单详情,218,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01951,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/summaries/:period/download,/api/v1/me/billing/summaries/:period/download,219,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01955,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/analysis,/api/v1/me/billing/analysis,220,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01956,user-agent,docs/PRD-用户端体验增强.md,API 接口,消费分析数据（多维）,消费分析数据（多维）,220,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
UA2-01959,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/forecast,/api/v1/me/billing/forecast,221,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01963,user-agent,docs/PRD-用户端体验增强.md,API 接口,/api/v1/me/billing/optimization-tips,/api/v1/me/billing/optimization-tips,222,41;114;151;213;275;310;381;435,MARKDOWN_OR_PATH;NUMERIC,PENDING,
UA2-01964,user-agent,docs/PRD-用户端体验增强.md,API 接口,成本优化建议,成本优化建议,222,41;114;151;213;275;310;381;435,NONE_DETECTED,PENDING,
