req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis,source_section_context,source_quote_context,section_check,quote_check,assertion_check,format_risk_check,review_decision,review_notes
UA2-03089,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,验收标准,AC-3,AC-3,1199,209;956;1195;1395;1621;1724;1827;1908;1957;2021;2096,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"209: ### 楠屾敹鏍囧噯
956: ### 楠屾敹鏍囧噯
1195: ### 楠屾敹鏍囧噯
1395: ### 楠屾敹鏍囧噯
1621: ### 楠屾敹鏍囧噯
1724: ### 楠屾敹鏍囧噯
1827: ### 楠屾敹鏍囧噯
1908: ### 楠屾敹鏍囧噯
1957: ### 楠屾敹鏍囧噯
2021: ### 楠屾敹鏍囧噯
2096: ### 楠屾敹鏍囧噯",1199: | AC-32 | 鍒涘缓 Webhook 閰嶇疆 | 淇濆瓨鎴愬姛锛屽垪琛ㄥ嚭鐜版柊鍗＄墖 |,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03092,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,验收标准,AC-4,AC-4,1399;1406;1625,209;956;1195;1395;1621;1724;1827;1908;1957;2021;2096,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"209: ### 楠屾敹鏍囧噯
956: ### 楠屾敹鏍囧噯
1195: ### 楠屾敹鏍囧噯
1395: ### 楠屾敹鏍囧噯
1621: ### 楠屾敹鏍囧噯
1724: ### 楠屾敹鏍囧噯
1827: ### 楠屾敹鏍囧噯
1908: ### 楠屾敹鏍囧噯
1957: ### 楠屾敹鏍囧噯
2021: ### 楠屾敹鏍囧噯
2096: ### 楠屾敹鏍囧噯","1399: | AC-41 | 鐧诲綍椤垫樉绀轰笁涓涓夋柟鐧诲綍鎸夐挳 | 鐐瑰嚮璺宠浆鍒板搴旀巿鏉冮〉 |
1406: | AC-48 | GitHub 鎺堟潈鎷掔粷 | 璺冲洖鐧诲綍椤碉紝Toast ""鎺堟潈宸插彇娑? |
1625: | AC-49 | 鐢ㄦ埛鍏抽棴閭欢閫氱煡鍏ㄥ眬 | 涓嶅啀鏀跺埌閭欢 |",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03118,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,本月剩余天数 = DAY(LAST_DAY(NOW())) - DAY(NOW()) + 1,本月剩余天数 = DAY(LAST_DAY(NOW())) - DAY(NOW()) + 1,254,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",254: 鏈湀鍓╀綑澶╂暟 = DAY(LAST_DAY(NOW())) - DAY(NOW()) + 1,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03129,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,"""forecastUsagePercent"": 57.9, // 预估/预算","""forecastUsagePercent"": 57.9, // 预估/预算",277,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉","277:   ""forecastUsagePercent"": 57.9, // 棰勪及/棰勭畻",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03149,user-agent,docs/SPEC-§22-用户端体验增强.md,source_quote;atomic_assertion,完成能力 / 展示效果,**告警分类与展示：**,**告警分类与展示：**,318,42;235;311;429;484;570;750;977;1216;1415;1662;1735;1840;1920;1969;2032,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,"42: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
235: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
311: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
429: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
484: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
570: #### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
750: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
977: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1216: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1415: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1662: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1735: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1840: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1920: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
1969: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉
2032: ### 瀹屾垚鑳藉姏 / 灞曠ず鏁堟灉",318: **鍛婅鍒嗙被涓庡睍绀猴細**,PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03166,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"export const userAlerts = pgTable(""user_alerts"", {","export const userAlerts = pgTable(""user_alerts"", {",407,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"407: export const userAlerts = pgTable(""user_alerts"", {",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03167,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"id: serial(""id"").primaryKey(),","id: serial(""id"").primaryKey(),",408;1088;1110;1129;1287;1452;1762,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"408:   id: serial(""id"").primaryKey(),
1088:   id: serial(""id"").primaryKey(),
1110:   id: serial(""id"").primaryKey(),
1129:   id: serial(""id"").primaryKey(),
1287:   id: serial(""id"").primaryKey(),
1452:   id: serial(""id"").primaryKey(),
1762:   id: serial(""id"").primaryKey(),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03168,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"userId: integer(""user_id"").notNull().references(() => users.id),","userId: integer(""user_id"").notNull().references(() => users.id),",409;1089,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"409:   userId: integer(""user_id"").notNull().references(() => users.id),
1089:   userId: integer(""user_id"").notNull().references(() => users.id),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03169,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"type: varchar(""type"", { length: 30 }).notNull(),","type: varchar(""type"", { length: 30 }).notNull(),",410,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"410:   type: varchar(""type"", { length: 30 }).notNull(),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03170,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"level: varchar(""level"", { length: 10 }).notNull().default(""medium""),","level: varchar(""level"", { length: 10 }).notNull().default(""medium""),",411,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"411:   level: varchar(""level"", { length: 10 }).notNull().default(""medium""),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03171,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"message: varchar(""message"", { length: 500 }).notNull(),","message: varchar(""message"", { length: 500 }).notNull(),",412,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"412:   message: varchar(""message"", { length: 500 }).notNull(),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03172,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"detail: jsonb(""detail""),","detail: jsonb(""detail""),",413,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"413:   detail: jsonb(""detail""),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03173,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"route: varchar(""route"", { length: 200 }),","route: varchar(""route"", { length: 200 }),",414,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"414:   route: varchar(""route"", { length: 200 }),",PENDING,PENDING,PENDING,PENDING,PENDING,
UA2-03174,user-agent,docs/SPEC-§22-用户端体验增强.md,source_section,后端告警生成逻辑,"read: boolean(""read"").default(false),","read: boolean(""read"").default(false),",415,388,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认,388: #### 鍚庣鍛婅鐢熸垚閫昏緫,"415:   read: boolean(""read"").default(false),",PENDING,PENDING,PENDING,PENDING,PENDING,
