req_id,domain,source_path,bad_fields,recovered_section,recovered_quote,recovered_assertion,quote_source_lines,section_source_lines,conversion,compound_after_recovery,status,basis
REQ-ADMINPORTAL-00075,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.3.2 模型管理 `/admin/models`,#### 4.3.2 模型管理 `/admin/models`,需求规定：**鎵归噺浠锋牸鍙樻洿**,212,212,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00102,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.1 财务总览 `/admin/finance`,#### 4.4.1 财务总览 `/admin/finance`,需求规定：**鏀跺叆鍒嗘瀽闈㈡澘**,381,381,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00124,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：鏃堕棿 | 2026-07-26 11:35,466,466,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00125,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：浠ｇ悊 | TechAgent,466,466,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00128,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：浣ｉ噾鐜?| 10%,466,466,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00130,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：缁撶畻鐘舵€?| 宸茬粨绠?/ 寰呯粨绠?,466,466,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00131,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.4.3 佣金管理 `/admin/finance/commissions`,#### 4.4.3 佣金管理 `/admin/finance/commissions`,需求规定：缁撶畻鍛ㄦ湡 | 2026-07,466,466,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00134,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：**娲诲姩绫诲瀷涓庨厤缃?*,548,548,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00143,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：**娲诲姩鏁版嵁杩借釜**,548,548,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00144,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.5.1 活动管理 `/admin/campaigns`,#### 4.5.1 活动管理 `/admin/campaigns`,需求规定：鎸囨爣 | 璁＄畻鏂瑰紡,548,548,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00198,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.6.2 安全配置 `/admin/security-config`,#### 4.6.2 安全配置 `/admin/security-config`,需求规定：**IP 榛戠櫧鍚嶅崟**,795,795,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00200,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.6.2 安全配置 `/admin/security-config`,#### 4.6.2 安全配置 `/admin/security-config`,需求规定：**鐧诲綍闄愬埗**,795,795,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00261,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：瀹夊叏 | 鐧诲綍閿佸畾闃堝€?| int | 5 | 娆?5鍒嗛挓,1093,1093,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00276,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：渚涘簲鍟?| 鍋ュ悍妫€鏌ラ棿闅?| int | 30 | 绉?,1093,1093,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
REQ-ADMINPORTAL-00277,admin-portal,docs/PRD-管理后台.md,source_section;source_quote,4.8.1 系统参数配置 `/admin/configs`,#### 4.8.1 系统参数配置 `/admin/configs`,需求规定：渚涘簲鍟?| 鐔旀柇澶辫触闃堝€?| int | 10 | 杩炵画澶辫触娆℃暟,1093,1093,gb18030->utf8 x1,NO,REVIEW_CANDIDATE,所有受影响字段均完成整字段可逆转换，且引用/章节可定位；仍需人工确认
